epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.78683,2.87346,6.34307,2.51393,0,0,0,0,2.92255,5.01363,2.50238,9.36e-06,9.36e-06,9.36e-06
2,9.95928,2.74393,6.03074,2.47309,0,0,0,0,2.94973,5.00593,2.49719,1.98785e-05,1.98785e-05,1.98785e-05
3,12.6464,2.84743,6.34923,2.52984,0,0,0,0,2.97907,5.00094,2.48686,2.99645e-05,2.99645e-05,2.99645e-05
4,15.2191,2.81649,6.21881,2.50772,0,0,0,0,2.96258,4.99247,2.466,3.96181e-05,3.96181e-05,3.96181e-05
5,17.8102,2.82908,6.05239,2.52372,0,0,0,0,2.88784,4.97888,2.41106,4.88392e-05,4.88392e-05,4.88392e-05
6,20.3639,2.53188,6.02756,2.27177,0,0,0,0,2.84633,4.96772,2.41155,5.7628e-05,5.7628e-05,5.7628e-05
7,22.8806,2.83231,6.10271,2.48725,0,0,0,0,2.85885,4.97047,2.41193,6.59843e-05,6.59843e-05,6.59843e-05
8,25.4474,2.6923,5.87797,2.42894,0,0,0,0,2.85377,4.96742,2.40254,7.39081e-05,7.39081e-05,7.39081e-05
9,28.3358,2.78539,6.03515,2.40628,0,0,0,0,2.8466,4.97073,2.40067,8.13996e-05,8.13996e-05,8.13996e-05
10,31.4557,2.62783,5.95534,2.32949,0.02857,0.00179,0.01518,0.01518,2.84236,4.96652,2.39898,8.84586e-05,8.84586e-05,8.84586e-05
11,34.0751,2.48523,5.76493,2.25766,0.02857,0.00179,0.01518,0.01518,2.80869,4.96939,2.36881,9.50851e-05,9.50851e-05,9.50851e-05
12,36.6807,2.47584,5.77953,2.15403,0.00952,0.00179,0.0063,0.0063,2.80331,4.96115,2.37889,0.000101279,0.000101279,0.000101279
13,39.3197,2.48939,5.91637,2.21217,0.00571,0.00179,0.00452,0.00452,2.82666,4.96222,2.38897,0.000107041,0.000107041,0.000107041
14,42.0026,2.48991,5.92397,2.18986,0.01172,0.00536,0.00883,0.00824,2.8385,4.96961,2.40686,0.00011237,0.00011237,0.00011237
15,44.6408,2.73051,5.81461,2.32055,0.00301,0.00893,0.00459,0.00413,2.85096,4.95705,2.41882,0.000112757,0.000112757,0.000112757
16,47.5527,2.25082,5.41949,2.02117,0.5971,0.00179,0.0036,0.00324,2.86386,4.94976,2.4309,0.000109668,0.000109668,0.000109668
17,49.9538,2.17144,5.53114,1.93554,0.68369,0.00179,0.00332,0.00298,2.88865,4.92693,2.45754,0.000106579,0.000106579,0.000106579
18,52.3892,2.39257,5.57674,2.1362,0.64364,0.00179,0.00312,0.00281,2.90373,4.90011,2.47048,0.00010349,0.00010349,0.00010349
19,54.8178,2.49079,5.45544,2.20022,0.61474,0.00179,0.00286,0.00255,2.90313,4.8823,2.46387,0.000100402,0.000100402,0.000100402
20,57.268,2.47569,5.60185,2.19203,0.63728,0.00893,0.00392,0.00315,2.93763,4.8552,2.472,9.73128e-05,9.73128e-05,9.73128e-05
21,59.7227,2.34526,5.34803,2.12007,0.64073,0.00536,0.00401,0.00307,2.94552,4.83768,2.48582,9.4224e-05,9.4224e-05,9.4224e-05
22,62.1776,2.2564,5.00491,1.90333,0.61719,0.00536,0.00449,0.00337,2.9898,4.8091,2.51985,9.11352e-05,9.11352e-05,9.11352e-05
23,64.7127,2.42699,5.41992,2.07832,0.61884,0.00729,0.0048,0.00349,3.02244,4.76866,2.54169,8.80464e-05,8.80464e-05,8.80464e-05
24,67.2295,2.29258,5.49441,2.01067,0.65106,0.00755,0.00525,0.00394,3.00561,4.74013,2.52774,8.49576e-05,8.49576e-05,8.49576e-05
25,69.8194,2.00764,4.56007,1.80141,0.65577,0.00755,0.00596,0.0043,3.02846,4.72828,2.53697,8.18688e-05,8.18688e-05,8.18688e-05
26,72.5284,2.27069,5.31447,1.98301,0.65265,0.00755,0.00602,0.00436,3.04151,4.70996,2.52471,7.878e-05,7.878e-05,7.878e-05
27,75.0945,2.41521,5.21215,2.02541,0.61607,0.00755,0.00565,0.00416,3.01617,4.70948,2.50649,7.56912e-05,7.56912e-05,7.56912e-05
28,77.6472,2.34491,5.32615,1.97092,0.5891,0.01084,0.00568,0.00433,3.02968,4.70652,2.51912,7.26024e-05,7.26024e-05,7.26024e-05
