epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,260.152,2.0111,3.39183,1.87251,0.29682,0.13315,0.07444,0.02085,2.53597,3.19366,2.12736,0.000237733,0.000237733,0.000237733
2,519.922,2.01863,3.08328,1.88373,0.11396,0.14724,0.07262,0.02011,2.52015,3.17417,2.14166,0.000466313,0.000466313,0.000466313
3,777.737,2.00286,3.05519,1.88246,0.28224,0.10709,0.08608,0.0267,2.414,3.04969,2.0801,0.000685469,0.000685469,0.000685469
4,1035.45,1.97444,3.01636,1.86363,0.12037,0.22408,0.09776,0.02875,2.4886,3.07881,2.13786,0.000671588,0.000671588,0.000671588
5,1293.38,1.9694,2.9856,1.85968,0.2638,0.19715,0.11686,0.03964,2.32232,2.82659,1.98421,0.000657451,0.000657451,0.000657451
6,1552.2,1.90712,2.89468,1.81124,0.22556,0.18342,0.12155,0.04598,2.11539,2.73027,1.79557,0.000643314,0.000643314,0.000643314
7,1811.59,1.90862,2.84892,1.82062,0.14923,0.19207,0.1333,0.06174,1.97973,2.68103,1.74158,0.000629177,0.000629177,0.000629177
8,2072.92,1.8646,2.76427,1.77466,0.28342,0.2079,0.13425,0.05821,2.10089,2.60125,1.8321,0.00061504,0.00061504,0.00061504
9,2332.92,1.83403,2.73508,1.76413,0.26735,0.24521,0.13993,0.064,1.92459,2.70334,1.69469,0.000600902,0.000600902,0.000600902
10,2593.49,1.8212,2.66043,1.74081,0.30522,0.23382,0.1464,0.06181,2.04767,2.54635,1.74253,0.000586765,0.000586765,0.000586765
11,2841.81,1.81037,2.65709,1.74806,0.51933,0.19943,0.16863,0.07384,1.91606,2.43306,1.69136,0.000572628,0.000572628,0.000572628
12,3090.97,1.79778,2.60705,1.74747,0.41288,0.20229,0.15317,0.06424,1.9969,2.52631,1.74016,0.000558491,0.000558491,0.000558491
